id,name,address,reviews,dessert,url,image
2,Ample Hills Creamery,"141 8th avenue New York, NY 10011",4.5,Icecream,https://www.amplehills.com/,images/alimama.png
7,Eggloo," 60 Mulberry St, New York, NY 10013",4.4,Icecream,https://www.myeggloo.com/mobile,https://www.cherriealmonte.com/wp-content/uploads/2017/05/img_4592-1440x1440.jpg
9,Five Pennies Creamery,"11 N Park Ave, Rockville Centre, NY 11570",4.8,Icecream,https://www.fivepenniescreameryny.com/,images/five.png
6,Minus 10 Ice Cream,"10 Mott St New York, NY 10013",no reviews,Icecream,https://www.minus10icecream.com/,images/minus.png
19,Odd Fellows,"55 East Houston Street
New York, NY 10012 & 75 East 4th Street
New York, NY 10003",4.4,Icecream,https://www.oddfellowsnyc.com/,images/oddfellow.png
20,PopBar,"5 Carmine St, New York, NY 10014",4.4,Icecream,https://www.pop-bar.com/,https://i.pinimg.com/originals/d7/92/c9/d792c9ea55aa17850dbf5090b33f5bac.jpg
22,Soft Swerve,"85B ALLEN STREET, NEW YORK, N.Y. 10002",4.5,Icecream,http://www.softswervenyc.com/,https://media.guestofaguest.com/t_card_large/gofg-media/2017/04/1/48807/17819241_401343633573305_8409323262923767808_n.jpg
23,Stax IceCream," 279 Grand St, New York, NY 10002",4.6,Icecream,https://www.staxicecream.com/,images/staxicecream.png
25,Taiyaki Nyc,"119 Baxter Street, NY 10013",4.6,Icecream,https://taiyakinyc.com/,https://cdn.vox-cdn.com/thumbor/dbFlGH8TcZiETnSH1pGFULQkRSs=/1400x1400/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/13699892/42854476_452213585183008_3082217601334509568_n.jpg
27,The Original Chinatown Ice Cream Factory,"65 Bayard St, New York, NY 10013",4.5,Icecream,http://www.chinatownicecreamfactory.com/,images/icecreamfactory.png
28,Van Leeuwan,"48.5 East 7th St, New York, NY 10003",no reviews,Icecream,https://vanleeuwenicecream.com/location/east-village/,https://urbanmatter.com/chicago/wp-content/uploads/2017/07/20184727_2041913869362853_2429573870185873408_n.jpg
29,Wowfulls,"309 E Houston St, New York, NY 10002",4.6,Icecream,http://wowfulls.com/,images/wowfulls.png
18,Mochii,"116 E 7th St, New York, NY 10009",4.5,Icecream,https://www.mochiinyc.com/menu,https://cdn.vox-cdn.com/thumbor/9zhIk1BMYBWeAGMbbgYIOPyA2FQ=/1400x1400/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/19184691/Redbean7618__1___1_.jpg